%eval_id interface FaceCovMax     rResolBulk     vResol         DatomFissGBx   fNucleate      aAtomDifFiss   StickProb      rResolGBB      fuel_swelling  fuel_gas_swelling 
1        NO_ID      0.650871557    3.281528662e-09 5.696812621e-18 9720.560229    2.415274238e-09 5.4587482e-31  1.250136318e-07 6.908243157e-07 117.7925863    85.72090615    
2        NO_ID      0.7004889706   3.405614543e-09 2.270948299e-18 10617.11946    3.584054292e-10 5.298310102e-31 1.674882269e-07 9.826777456e-07 114.5628244    82.49114429    
3        NO_ID      0.7706605814   3.548509496e-09 1.371848679e-18 25422.01078    1.667373799e-10 3.316310037e-31 3.433259094e-07 3.038372675e-06 107.5209732    75.44929302    
4        NO_ID      0.683931201    3.364810439e-09 1.777367097e-18 8486.594548    1.579264888e-10 1.698032105e-30 1.423811074e-07 8.31258721e-07 40910.69804    40878.62636    
5        NO_ID      0.7044808323   2.530986437e-09 3.591396452e-18 19902.46433    8.04767947e-10 2.323996146e-31 3.178562991e-07 4.354383022e-07 113.7305777    81.65889755    
6        NO_ID      0.8664325266   2.614629658e-09 1.295105655e-18 9409.33371     4.883834175e-10 3.546485555e-31 5.975684482e-08 6.42601281e-07 99.05932247    66.98764234    
7        NO_ID      0.6549924436   1.769670594e-09 2.162683803e-18 32465.84796    1.339868999e-09 3.710226701e-31 1.297651489e-07 8.517836644e-07 123.1783065    91.10662634    
8        NO_ID      0.7543236927   3.318653229e-09 2.589793732e-18 64321.57503    4.939832136e-10 1.988497217e-30 7.106292275e-07 2.990959658e-08 108.607359     76.53567891    
9        NO_ID      0.7566005187   2.911011507e-09 1.610621875e-18 59859.66909    4.283788874e-10 5.500327175e-31 2.329639635e-07 3.010176725e-07 110.0560774    77.9843973     
10       NO_ID      0.7577751696   2.510380514e-09 1.422918947e-18 24954.12651    3.191454214e-10 6.86020496e-31 1.663182524e-07 4.918690958e-07 310.6896165    278.6179364    
11       NO_ID      0.7289884389   1.461933577e-09 3.525027518e-18 267222.0665    7.72157792e-10 3.185884121e-31 4.706099179e-07 9.505914311e-07 113.4001047    81.32842454    
12       NO_ID      0.8052491255   3.163338098e-09 2.940952011e-18 18575.80824    4.616904091e-10 4.981906968e-31 5.17236755e-07 7.591835556e-07 104.2757719    72.2040918     
13       NO_ID      0.7445761728   3.277585041e-09 4.824857387e-18 54215.91511    5.723874898e-10 5.092096606e-31 9.252709709e-08 1.124998157e-07 110.1417828    78.07010267    
14       NO_ID      0.7315771019   3.097020081e-09 2.366678881e-18 21634.14968    3.170975251e-10 1.284813273e-30 9.463913127e-08 1.840411809e-06 121.7516789    89.67999873    
15       NO_ID      0.6171394793   3.843181836e-09 2.553886394e-18 8168.404831    4.829281206e-10 4.199104326e-31 1.498167397e-07 3.542907384e-07 123.4354264    91.36374626    
16       NO_ID      0.8271751112   3.010812262e-09 3.545636934e-18 8137.984553    5.188601615e-10 4.904781342e-31 4.982264098e-07 2.416101776e-07 102.0313892    69.95970906    
17       NO_ID      0.7248485272   3.134041101e-09 5.392139292e-19 20576.22475    2.805514598e-10 1.771751751e-31 3.876832564e-08 2.483622186e-07 260.6537415    228.5820614    
