dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
4.36e-05,0.72468,0.0227,1.91e-18,29013.0,6.31e-10,5.2957e-31,1.1007e+21,7.325,2.9221
4.36e-05,0.72468,0.0227,1.91e-18,29013.0,6.31e-10,5.2957e-31,2.06e+21,12.446,4.1901
4.36e-05,0.72468,0.0227,1.91e-18,29013.0,6.31e-10,5.2957e-31,3.03e+21,18.275,6.1665
4.36e-05,0.72468,0.0227,1.91e-18,29013.0,6.31e-10,5.2957e-31,3.99e+21,38.462,22.501
4.36e-05,0.72468,0.0227,1.91e-18,29013.0,6.31e-10,5.2957e-31,5.09e+21,80.678,60.314
4.36e-05,0.72468,0.0227,1.91e-18,29013.0,6.31e-10,5.2957e-31,6.05e+21,117.56,93.341
4.36e-05,0.72468,0.0227,1.91e-18,29013.0,6.31e-10,5.2957e-31,7.02e+21,131.63,103.56
4.77e-05,0.89917,0.025874,2.07e-18,28079.0,6.65e-10,5.7402e-31,1.1007e+21,7.2635,2.8605
4.77e-05,0.89917,0.025874,2.07e-18,28079.0,6.65e-10,5.7402e-31,2.06e+21,12.134,3.8782
4.77e-05,0.89917,0.025874,2.07e-18,28079.0,6.65e-10,5.7402e-31,3.03e+21,17.562,5.4537
4.77e-05,0.89917,0.025874,2.07e-18,28079.0,6.65e-10,5.7402e-31,3.99e+21,36.081,20.12
4.77e-05,0.89917,0.025874,2.07e-18,28079.0,6.65e-10,5.7402e-31,5.09e+21,73.932,53.568
4.77e-05,0.89917,0.025874,2.07e-18,28079.0,6.65e-10,5.7402e-31,6.05e+21,108.32,84.099
4.77e-05,0.89917,0.025874,2.07e-18,28079.0,6.65e-10,5.7402e-31,7.02e+21,121.58,93.509
4.49e-05,0.83529,0.022412,2.13e-18,35427.0,6.58e-10,5.2517e-31,1.1007e+21,7.163,2.7601
4.49e-05,0.83529,0.022412,2.13e-18,35427.0,6.58e-10,5.2517e-31,2.06e+21,12.072,3.8167
4.49e-05,0.83529,0.022412,2.13e-18,35427.0,6.58e-10,5.2517e-31,3.03e+21,17.545,5.4365
4.49e-05,0.83529,0.022412,2.13e-18,35427.0,6.58e-10,5.2517e-31,3.99e+21,36.224,20.263
4.49e-05,0.83529,0.022412,2.13e-18,35427.0,6.58e-10,5.2517e-31,5.09e+21,74.396,54.032
4.49e-05,0.83529,0.022412,2.13e-18,35427.0,6.58e-10,5.2517e-31,6.05e+21,108.89,84.675
4.49e-05,0.83529,0.022412,2.13e-18,35427.0,6.58e-10,5.2517e-31,7.02e+21,122.15,94.078
4.57e-05,0.62823,0.027962,1.87e-18,31139.0,5.6e-10,5.1044e-31,1.1007e+21,7.3947,2.9917
4.57e-05,0.62823,0.027962,1.87e-18,31139.0,5.6e-10,5.1044e-31,2.06e+21,12.768,4.513
4.57e-05,0.62823,0.027962,1.87e-18,31139.0,5.6e-10,5.1044e-31,3.03e+21,19.514,7.4056
4.57e-05,0.62823,0.027962,1.87e-18,31139.0,5.6e-10,5.1044e-31,3.99e+21,42.644,26.683
4.57e-05,0.62823,0.027962,1.87e-18,31139.0,5.6e-10,5.1044e-31,5.09e+21,97.896,77.532
4.57e-05,0.62823,0.027962,1.87e-18,31139.0,5.6e-10,5.1044e-31,6.05e+21,160.9,136.68
4.57e-05,0.62823,0.027962,1.87e-18,31139.0,5.6e-10,5.1044e-31,7.02e+21,272.54,244.48
4.19e-05,0.72514,0.027069,1.7e-18,27465.0,6.03e-10,5.0699e-31,1.1007e+21,7.4576,3.0547
4.19e-05,0.72514,0.027069,1.7e-18,27465.0,6.03e-10,5.0699e-31,2.06e+21,12.871,4.6158
4.19e-05,0.72514,0.027069,1.7e-18,27465.0,6.03e-10,5.0699e-31,3.03e+21,18.809,6.7012
4.19e-05,0.72514,0.027069,1.7e-18,27465.0,6.03e-10,5.0699e-31,3.99e+21,37.821,21.861
4.19e-05,0.72514,0.027069,1.7e-18,27465.0,6.03e-10,5.0699e-31,5.09e+21,76.591,56.227
4.19e-05,0.72514,0.027069,1.7e-18,27465.0,6.03e-10,5.0699e-31,6.05e+21,125.4,101.18
4.19e-05,0.72514,0.027069,1.7e-18,27465.0,6.03e-10,5.0699e-31,7.02e+21,177.38,149.31
4.42e-05,0.87579,0.024221,1.82e-18,33842.0,6.68e-10,5.1367e-31,1.1007e+21,7.4123,3.0093
4.42e-05,0.87579,0.024221,1.82e-18,33842.0,6.68e-10,5.1367e-31,2.06e+21,12.709,4.4531
4.42e-05,0.87579,0.024221,1.82e-18,33842.0,6.68e-10,5.1367e-31,3.03e+21,18.195,6.0864
4.42e-05,0.87579,0.024221,1.82e-18,33842.0,6.68e-10,5.1367e-31,3.99e+21,35.644,19.683
4.42e-05,0.87579,0.024221,1.82e-18,33842.0,6.68e-10,5.1367e-31,5.09e+21,70.623,50.259
4.42e-05,0.87579,0.024221,1.82e-18,33842.0,6.68e-10,5.1367e-31,6.05e+21,101.79,77.569
