dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,1.1007e+21,4.9532,0.55022
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,2.0639e+21,8.9326,0.67707
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,3.027e+21,13.431,1.3233
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,3.9902e+21,20.827,4.8661
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,5.0909e+21,34.213,13.849
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,6.054e+21,47.734,23.517
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,7.0172e+21,66.138,38.069
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,7.9803e+21,84.897,52.975
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,1.1007e+21,4.4067,0.0038015
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,2.0639e+21,8.2605,0.0049796
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,3.027e+21,12.123,0.015313
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,3.9902e+21,16.224,0.26362
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,5.0909e+21,22.798,2.434
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,6.054e+21,29.727,5.5109
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,7.0172e+21,38.453,10.384
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,7.9803e+21,47.128,15.206
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,1.1007e+21,5.392,0.98905
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,2.0639e+21,9.5715,1.316
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,3.027e+21,13.523,1.4145
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,3.9902e+21,17.905,1.9445
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,5.0909e+21,27.641,7.2772
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,6.054e+21,53.298,29.082
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,7.0172e+21,86.146,58.077
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,7.9803e+21,109.75,77.824
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,1.1007e+21,4.4259,0.022956
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,2.0639e+21,8.2785,0.022956
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,3.027e+21,12.357,0.24844
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,3.9902e+21,18.209,2.2487
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,5.0909e+21,28.274,7.9099
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,6.054e+21,38.388,14.172
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,7.0172e+21,51.517,23.448
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,7.9803e+21,64.303,32.381
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,1.1007e+21,4.706,0.30309
