dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,1.1007e+21,9.958,5.555
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,2.0639e+21,16.363,8.1072
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,3.027e+21,23.909,11.801
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,3.9902e+21,44.43,28.469
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,5.0909e+21,84.324,63.961
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,6.054e+21,116.23,92.016
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,7.0172e+21,128.3,100.23
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,7.9803e+21,132.28,100.36
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,1.1007e+21,4.7614,0.3585
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,2.0639e+21,8.8446,0.58908
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,3.027e+21,12.768,0.66027
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,3.9902e+21,19.597,3.6366
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,5.0909e+21,32.052,11.688
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,6.054e+21,42.601,18.385
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,7.0172e+21,48.888,20.819
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,7.9803e+21,52.76,20.839
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,1.1007e+21,13.17,8.7671
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,2.0639e+21,20.996,12.74
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,3.027e+21,26.737,14.629
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,3.9902e+21,37.322,21.361
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,5.0909e+21,88.075,67.711
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,6.054e+21,106.62,82.404
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,7.0172e+21,137.19,109.12
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,7.9803e+21,209.64,177.71
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,1.1007e+21,5.111,0.70808
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,2.0639e+21,8.9636,0.70808
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,3.027e+21,12.926,0.81762
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,3.9902e+21,25.534,9.5736
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,5.0909e+21,48.704,28.34
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,6.054e+21,68.513,44.297
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,7.0172e+21,78.693,50.624
