dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,1.007e+21,4.4352,0.40726
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,2.0004e+21,8.5012,0.49966
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,3.0074e+21,12.905,0.8757
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,4.0008e+21,19.283,3.2799
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,5.0077e+21,28.672,8.6413
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,6.0011e+21,40.039,16.035
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,7.0081e+21,53.731,25.698
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,8.0015e+21,66.629,34.623
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,1.007e+21,4.0292,0.0012409
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,2.0004e+21,8.0032,0.0016947
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,3.0074e+21,12.041,0.011888
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,4.0008e+21,16.023,0.020371
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,5.0077e+21,20.18,0.1488
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,6.0011e+21,25.334,1.3294
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,7.0081e+21,31.553,3.5201
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,8.0015e+21,37.858,5.8522
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,1.007e+21,4.7908,0.7628
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,2.0004e+21,9.0338,1.0323
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,3.0074e+21,13.121,1.092
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,4.0008e+21,17.097,1.0943
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,5.0077e+21,21.281,1.2503
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,6.0011e+21,26.486,2.4814
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,7.0081e+21,32.795,4.7629
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,8.0015e+21,39.198,7.1924
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,1.007e+21,4.0341,0.0061718
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,2.0004e+21,8.0077,0.0061718
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,3.0074e+21,12.112,0.082782
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,4.0008e+21,17.237,1.2339
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,5.0077e+21,24.372,4.3406
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,6.0011e+21,32.999,8.9949
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,7.0081e+21,43.041,15.009
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,8.0015e+21,52.521,20.515
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,1.007e+21,4.2424,0.21447
