dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,1.007e+21,8.8719,4.8439
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,2.0004e+21,14.994,6.9923
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,3.0074e+21,21.833,9.8033
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,4.0008e+21,40.308,24.305
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,5.0077e+21,66.754,46.723
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,6.0011e+21,91.101,67.096
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,7.0081e+21,100.75,72.721
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,8.0015e+21,104.77,72.763
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,1.007e+21,4.3186,0.29061
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,2.0004e+21,8.5054,0.50392
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,3.0074e+21,12.595,0.56529
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,4.0008e+21,18.766,2.7627
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,5.0077e+21,28.244,8.2133
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,6.0011e+21,37.889,13.885
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,7.0081e+21,43.741,15.709
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,8.0015e+21,47.731,15.725
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,1.007e+21,11.698,7.6702
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,2.0004e+21,19.485,11.484
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,3.0074e+21,24.987,12.958
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,4.0008e+21,31.392,15.389
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,5.0077e+21,46.994,26.963
