ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
1,6.69E-05,0.76601533,0.05739892117,4.32E-09,14938.90999,3.60E-07,1.35E-09,2.85E-18,4.67E-07,9.326678486,0.1060704492
2,6.19E-05,0.5949285383,0.0190262176,2.35E-09,48171.60173,3.43E-07,1.42E-09,3.14E-18,6.35E-07,10.9349095,1.714301466
3,4.39E-05,0.711814301,0.02491024583,3.62E-09,36275.0408,2.31E-07,1.35E-09,1.33E-18,7.96E-07,11.70099225,2.48038421
4,3.63E-05,0.7532174784,0.07500656448,9.37E-10,10153.06579,2.61E-07,1.90E-09,3.20E-18,9.38E-07,12.96246636,3.741858323
5,5.51E-05,0.9017501234,0.06894830448,2.99E-09,8692.869526,3.51E-07,1.48E-09,3.82E-18,2.71E-07,9.226412778,0.00580474104
6,9.69E-05,0.8568555061,0.02905637902,1.69E-09,27313.09417,1.64E-07,3.28E-10,1.86E-18,5.69E-07,15.75105516,6.53044712
7,7.25E-05,0.5031979074,0.036758309,3.27E-09,14004.80932,3.30E-07,1.67E-09,3.61E-18,7.63E-07,9.545262404,0.3246543675
8,1.44E-05,0.5726850391,0.01756120769,1.90E-09,9057.526374,5.92E-08,2.82E-09,1.70E-18,7.32E-07,13.38964619,4.169038157
9,7.90E-05,0.5466490144,0.04539509191,8.68E-10,22347.36513,3.58E-07,7.94E-10,3.90E-18,5.59E-07,15.05967898,5.839070943
10,6.01E-05,0.7982843074,0.04113179181,1.05E-09,43710.50154,2.83E-07,3.54E-10,1.08E-18,6.80E-07,18.02939391,8.808785878
11,9.27E-05,0.8178356725,0.06588783844,2.71E-09,27690.67027,3.41E-07,4.74E-10,3.22E-18,9.38E-07,10.63720239,1.416594351
12,5.63E-05,0.8331323825,0.07455556604,1.09E-09,33064.43795,8.08E-08,1.82E-09,1.30E-18,5.96E-07,17.63859407,8.417986033
13,6.72E-05,0.6010616631,0.0574353157,2.61E-09,32028.11949,2.59E-07,1.11E-09,3.33E-18,5.10E-07,10.22058185,0.9999738097
14,2.37E-05,0.6618540153,0.07172233994,2.62E-09,39459.60768,2.46E-07,2.65E-09,2.21E-18,6.55E-07,10.80379894,1.583190906
15,8.15E-05,0.5356839488,0.06930661061,3.36E-09,44656.21391,4.99E-08,9.13E-10,2.33E-18,8.54E-07,11.59855862,2.377950588
16,8.54E-05,0.8871507977,0.01385808694,1.57E-09,41166.47819,9.89E-08,9.36E-10,1.42E-18,4.75E-07,16.76557774,7.544969708
17,3.41E-05,0.7922780316,0.05961019654,1.96E-09,26848.71077,2.76E-07,1.73E-09,1.40E-18,8.80E-07,13.4525646,4.23195656
18,5.01E-05,0.5307707531,0.04854071188,2.69E-09,13112.49396,2.55E-07,1.08E-09,2.98E-18,5.38E-07,9.785740279,0.565132242
19,7.61E-05,0.741944038,0.06796278045,2.74E-09,8099.726118,1.92E-07,2.15E-09,2.29E-18,6.99E-07,9.532986025,0.312377988
20,5.07E-05,0.5712713421,0.06320014785,9.26E-10,39882.28773,2.26E-08,1.60E-09,3.34E-18,4.50E-07,17.03355425,7.812946213
21,6.13E-05,0.6577795413,0.03698607237,3.38E-09,47326.05451,1.44E-07,2.06E-09,3.44E-18,6.32E-07,9.609841965,0.3892339284
22,5.10E-05,0.8715777114,0.01641185724,1.93E-09,33477.13012,7.22E-08,2.66E-09,1.65E-18,7.16E-07,13.90224523,4.681637197
23,7.75E-05,0.8130858698,0.0500072157,1.18E-09,39281.13245,2.03E-07,2.51E-09,2.21E-18,5.01E-07,14.77562944,5.555021399
24,2.25E-05,0.5081143361,0.07650244013,3.71E-09,32268.58332,3.20E-08,5.92E-10,2.27E-18,6.84E-07,11.38126947,2.160661438
25,3.93E-05,0.6877896854,0.0660169255,1.99E-09,24191.29226,9.24E-08,1.93E-09,2.76E-18,3.13E-07,11.47766871,2.257060674
26,2.53E-05,0.8976350061,0.06504893631,3.13E-09,49717.61194,1.82E-07,2.76E-09,3.67E-18,2.51E-07,9.399758691,0.1791506542
27,6.42E-05,0.7900416235,0.0692090325,8.22E-10,13882.8489,5.54E-08,2.78E-09,1.14E-18,2.84E-07,18.07340541,8.852797375
28,5.94E-05,0.5251120012,0.07986579384,2.40E-09,35783.32394,3.69E-07,2.03E-09,1.68E-18,7.75E-07,12.12152846,2.90092042
29,8.69E-05,0.8618123808,0.0732006669,4.08E-09,36487.9067,3.33E-07,1.10E-09,1.57E-18,7.94E-07,10.74918269,1.52857465
30,7.42E-05,0.5914481519,0.0728759705,3.45E-09,10768.87938,2.60E-07,2.42E-09,2.49E-18,3.05E-07,9.323591009,0.1029829717
31,6.42E-05,0.7477221677,0.01993082067,4.50E-09,39139.15643,3.96E-07,2.75E-09,1.59E-18,7.12E-07,9.9527985,0.7321904632
32,1.73E-05,0.6040473679,0.06135767782,3.48E-09,42055.74607,9.93E-08,2.53E-09,3.87E-18,8.45E-07,9.250536067,0.02992803035
33,4.64E-05,0.5264768472,0.05579232389,2.65E-09,48456.06163,2.92E-07,5.35E-10,3.39E-18,6.24E-07,10.86987855,1.649270518
34,9.56E-05,0.6167116406,0.01005391218,4.81E-09,19646.27109,2.24E-07,9.53E-10,2.53E-18,3.01E-07,9.843881161,0.6232731238
35,1.85E-05,0.8116751716,0.0289529596,2.10E-09,19993.93528,3.12E-08,2.35E-09,2.99E-18,2.99E-07,10.90171532,1.68110728
36,2.00E-05,0.7124855263,0.01089549165,2.58E-09,31352.87952,1.47E-07,1.29E-09,1.29E-18,5.35E-07,13.51083502,4.290226986
37,4.59E-05,0.5248833948,0.0126385856,4.38E-09,41416.03216,2.50E-07,2.77E-09,3.35E-18,3.84E-07,9.486200059,0.2655920217
38,1.00E-05,0.8252391083,0.03544590591,3.42E-09,9378.889289,3.17E-07,1.97E-09,3.65E-18,6.59E-07,9.220626922,1.89E-05
39,8.44E-05,0.7696287591,0.07563437985,3.56E-09,23565.74639,3.46E-07,2.60E-09,2.26E-18,8.02E-07,9.52753272,0.3069246833
40,7.97E-05,0.8094009305,0.04214285369,1.38E-09,29843.55757,5.98E-08,1.24E-09,1.78E-18,4.94E-07,16.49757922,7.276971187
41,5.22E-05,0.8100167066,0.05349540837,2.29E-09,11389.4874,2.99E-07,1.14E-09,1.68E-18,9.50E-07,11.72135993,2.500751898
42,7.88E-05,0.7685872811,0.02919504572,2.54E-09,20084.59436,1.92E-07,1.89E-09,2.18E-18,3.42E-07,10.97209839,1.751490355
43,3.24E-05,0.8398447747,0.07373948639,6.79E-10,47524.4003,4.88E-08,2.62E-09,3.61E-18,4.18E-07,16.83927633,7.618668291
44,3.67E-05,0.5729311751,0.0443826179,4.04E-09,31748.00742,3.28E-07,2.41E-09,1.32E-18,3.55E-07,10.52314499,1.302536951
45,2.18E-05,0.6394422724,0.04233139055,3.43E-09,26664.6976,2.96E-07,1.01E-09,3.98E-18,7.27E-07,9.334465571,0.1138575346
46,1.12E-05,0.8292126331,0.05240509057,6.84E-10,14637.18647,3.80E-07,1.75E-09,3.46E-18,6.09E-07,14.35727811,5.136670069
47,9.79E-05,0.5754616156,0.0541246397,4.68E-09,40459.91401,1.34E-07,2.27E-09,3.10E-18,3.81E-07,9.487169224,0.2665611873
48,8.06E-05,0.9044588869,0.06673762896,2.29E-09,8228.645717,2.79E-07,4.09E-10,1.12E-18,6.80E-07,13.79852407,4.577916032
49,5.18E-05,0.8497638628,0.04486675897,2.04E-09,18151.87638,1.69E-07,2.53E-09,3.72E-18,8.85E-07,9.624400104,0.4037920667
50,8.66E-05,0.7274155077,0.05029136797,4.19E-09,43199.7851,3.45E-08,2.94E-09,1.94E-18,6.98E-07,10.28560353,1.064995489
51,7.03E-05,0.5773989581,0.0101690992,1.81E-09,6653.904686,1.29E-07,2.77E-09,3.07E-18,5.40E-07,9.80966347,0.589055433
52,2.49E-05,0.7170047805,0.05096141382,1.48E-09,22257.54633,1.83E-07,1.90E-09,2.23E-18,5.18E-07,13.2867304,4.066122367
53,1.39E-05,0.5691266677,0.03430052061,2.03E-09,30176.90915,7.86E-08,1.97E-09,1.95E-18,8.14E-07,13.57024262,4.34963458
54,9.54E-05,0.7096875876,0.06373208915,4.18E-09,23131.65358,1.48E-07,8.06E-10,4.00E-18,7.19E-07,9.417478667,0.19687063
55,2.30E-05,0.5909153227,0.07336102973,4.27E-09,38547.04929,6.65E-08,1.54E-09,2.37E-18,8.81E-07,9.891699628,0.6710915916
56,7.00E-05,0.9010160495,0.03350812087,1.09E-09,42811.76318,2.47E-07,1.18E-09,2.23E-18,2.64E-07,15.71396104,6.493353
57,9.08E-05,0.6601686415,0.01448249986,2.84E-09,15299.9128,8.61E-08,2.00E-09,1.05E-18,5.58E-07,13.78447339,4.563865355
58,1.50E-05,0.7644597236,0.03410470059,2.80E-09,40007.09662,2.53E-09,4.28E-10,3.76E-18,5.81E-07,11.5167588,2.296150763
59,8.57E-05,0.8459249123,0.03709161828,1.33E-09,31125.88907,1.31E-07,2.72E-09,2.67E-18,4.42E-07,13.516377,4.295768967
60,6.21E-05,0.7160537445,0.05034089348,3.50E-09,29377.96441,2.44E-07,8.00E-10,3.24E-18,7.21E-07,9.748279869,0.5276718317
