Fd	fgs	grain_size
0.05135255	1.97E-02	1.34
0.1027051	1.67E-01	1.34
0.15405765	4.41E-01	1.34
0.2054102	7.73E-01	1.34
0.256762749	1.16E+00	1.34
0.308115299	1.58E+00	1.34
0.359467849	2.02E+00	1.34
0.410820399	2.47E+00	1.34
0.462172949	2.93E+00	1.34
0.513525499	3.39E+00	1.34
0.564878049	3.85E+00	1.34
0.616230599	4.31E+00	1.34
0.667583149	4.77E+00	1.34
0.718935699	5.23E+00	1.34
0.770288248	5.68E+00	1.34
0.821640798	6.12E+00	1.34
0.872993348	6.56E+00	1.34
0.924345898	6.99E+00	1.34
0.975698448	7.41E+00	1.34
1.027050998	7.82E+00	1.34
1.078403548	8.22E+00	1.34
1.129756098	8.61E+00	1.34
1.181108648	8.99E+00	1.34
1.232461197	9.36E+00	1.34
1.283813747	9.72E+00	1.34
1.335166297	1.01E+01	1.34
1.386518847	1.04E+01	1.34
1.437871397	1.07E+01	1.34
1.489223947	1.10E+01	1.34
1.540576497	1.13E+01	1.34
1.591929047	1.16E+01	1.34
1.643281597	1.19E+01	1.34
1.694634147	1.21E+01	1.34
1.745986696	1.24E+01	1.34
1.797339246	1.26E+01	1.34
1.848691796	1.29E+01	1.34
1.900044346	1.31E+01	1.34
1.951396896	1.33E+01	1.34
2.002749446	1.35E+01	1.34
2.054101996	1.37E+01	1.34
2.105454546	1.38E+01	1.34
2.156807096	1.40E+01	1.34
2.208159645	1.42E+01	1.34
2.259512195	1.43E+01	1.34
2.310864745	1.45E+01	1.34
2.362217295	1.46E+01	1.34
2.413569845	1.47E+01	1.34
2.464922395	1.48E+01	1.34
2.516274945	1.49E+01	1.34
2.567627495	1.50E+01	1.34
2.618980045	1.51E+01	1.34
2.670332595	1.51E+01	1.34
2.721685144	1.53E+01	1.34
2.773037694	1.53E+01	1.34
2.824390244	1.55E+01	1.34
2.875742794	1.55E+01	1.34
2.927095344	1.57E+01	1.34
2.978447894	1.57E+01	1.34
3.029800444	1.59E+01	1.34
3.081152994	1.62E+01	1.34
3.132505544	1.64E+01	1.34
3.183858093	1.66E+01	1.34
3.235210643	1.69E+01	1.34
3.286563193	1.72E+01	1.34
3.337915743	1.77E+01	1.34
3.389268293	1.80E+01	1.34
3.440620843	1.87E+01	1.34
3.491973393	1.90E+01	1.34
3.543325943	1.97E+01	1.34
3.594678493	2.04E+01	1.34
3.646031043	2.12E+01	1.34
3.697383592	2.20E+01	1.34
3.748736142	2.29E+01	1.34
3.800088692	2.38E+01	1.34
3.851441242	2.47E+01	1.34
3.902793792	2.57E+01	1.34
3.954146342	2.67E+01	1.34
4.005498892	2.72E+01	1.34
4.056851442	2.77E+01	1.34
4.108203992	2.87E+01	1.34
4.159556541	2.92E+01	1.34
4.210909091	2.98E+01	1.34
4.262261641	3.10E+01	1.34
4.313614191	3.16E+01	1.34
4.364966741	3.22E+01	1.34
4.416319291	3.23E+01	1.34
4.467671841	3.28E+01	1.34
4.519024391	3.34E+01	1.34
4.570376941	3.34E+01	1.34
4.621729491	3.34E+01	1.34
4.67308204	3.39E+01	1.34
4.72443459	3.39E+01	1.34
4.77578714	3.39E+01	1.34
4.82713969	3.43E+01	1.34
4.87849224	3.43E+01	1.34
4.92984479	3.43E+01	1.34
4.98119734	3.43E+01	1.34
5.03254989	3.43E+01	1.34
5.08390244	3.43E+01	1.34
5.135254989	3.43E+01	1.34
5.186607539	3.43E+01	1.34
5.237960089	3.44E+01	1.34
5.289312639	3.44E+01	1.34
5.340665189	3.44E+01	1.34
5.392017739	3.44E+01	1.34
5.443370289	3.44E+01	1.34
5.494722839	3.44E+01	1.34
5.546075389	3.44E+01	1.34
5.597427939	3.44E+01	1.34
5.648780488	3.44E+01	1.34
5.700133038	3.45E+01	1.34
5.751485588	3.45E+01	1.34
5.802838138	3.45E+01	1.34
5.854190688	3.45E+01	1.34
5.905543238	3.45E+01	1.34
5.956895788	3.45E+01	1.34
6.008248338	3.45E+01	1.34
6.059600888	3.45E+01	1.34
6.110953437	3.45E+01	1.34
6.162305987	3.45E+01	1.34
6.213658537	3.45E+01	1.34
6.265011087	3.46E+01	1.34
6.316363637	3.46E+01	1.34
6.367716187	3.46E+01	1.34
6.419068737	3.46E+01	1.34
6.470421287	3.46E+01	1.34
6.521773837	3.46E+01	1.34
6.573126387	3.46E+01	1.34
6.624478936	3.46E+01	1.34
6.675831486	3.46E+01	1.34
6.727184036	3.46E+01	1.34
6.778536586	3.46E+01	1.34
6.829889136	3.46E+01	1.34
6.881241686	3.46E+01	1.34
6.932594236	3.47E+01	1.34
6.983946786	3.47E+01	1.34
7.035299336	3.47E+01	1.34
0.05135254989	1.23E-03	4.4
0.1027050998	1.82E-02	4.4
0.1540576497	6.24E-02	4.4
0.2054101996	1.28E-01	4.4
0.2567627495	2.13E-01	4.4
0.3081152994	3.13E-01	4.4
0.3594678493	4.24E-01	4.4
0.4108203992	5.42E-01	4.4
0.4621729491	6.66E-01	4.4
0.5135254989	7.94E-01	4.4
0.5648780488	9.23E-01	4.4
0.6162305987	1.05E+00	4.4
0.6675831486	1.18E+00	4.4
0.7189356985	1.31E+00	4.4
0.7702882484	1.43E+00	4.4
0.8216407983	1.54E+00	4.4
0.8729933482	1.66E+00	4.4
0.9243458981	1.76E+00	4.4
0.975698448	1.86E+00	4.4
1.027050998	1.96E+00	4.4
1.078403548	2.05E+00	4.4
1.129756098	2.13E+00	4.4
1.181108648	2.21E+00	4.4
1.232461197	2.28E+00	4.4
1.283813747	2.35E+00	4.4
1.335166297	2.41E+00	4.4
1.386518847	2.46E+00	4.4
1.437871397	2.51E+00	4.4
1.489223947	2.56E+00	4.4
1.540576497	2.60E+00	4.4
1.591929047	2.64E+00	4.4
1.643281597	2.67E+00	4.4
1.694634147	2.70E+00	4.4
1.745986696	2.72E+00	4.4
1.797339246	2.74E+00	4.4
1.848691796	2.76E+00	4.4
1.900044346	2.78E+00	4.4
1.951396896	2.79E+00	4.4
2.002749446	2.81E+00	4.4
2.054101996	2.82E+00	4.4
2.105454546	2.82E+00	4.4
2.156807096	2.83E+00	4.4
2.208159645	2.90E+00	4.4
2.259512195	2.91E+00	4.4
2.310864745	2.91E+00	4.4
2.362217295	2.91E+00	4.4
2.413569845	2.91E+00	4.4
2.464922395	2.91E+00	4.4
2.516274945	2.91E+00	4.4
2.567627495	3.05E+00	4.4
2.618980045	3.05E+00	4.4
2.670332595	3.05E+00	4.4
2.721685144	3.05E+00	4.4
2.773037694	3.05E+00	4.4
2.824390244	3.25E+00	4.4
2.875742794	3.25E+00	4.4
2.927095344	3.25E+00	4.4
2.978447894	3.51E+00	4.4
3.029800444	3.51E+00	4.4
3.081152994	3.52E+00	4.4
3.132505544	3.82E+00	4.4
3.183858093	4.15E+00	4.4
3.235210643	4.16E+00	4.4
3.286563193	4.52E+00	4.4
3.337915743	4.91E+00	4.4
3.389268293	5.31E+00	4.4
3.440620843	5.75E+00	4.4
3.491973393	6.20E+00	4.4
3.543325943	6.68E+00	4.4
3.594678493	7.17E+00	4.4
3.646031043	7.70E+00	4.4
3.697383592	8.24E+00	4.4
3.748736142	8.80E+00	4.4
3.800088692	9.39E+00	4.4
3.851441242	9.99E+00	4.4
3.902793792	1.13E+01	4.4
3.954146342	1.19E+01	4.4
4.005498892	1.26E+01	4.4
4.056851442	1.34E+01	4.4
4.108203992	1.41E+01	4.4
4.159556541	1.49E+01	4.4
4.210909091	1.57E+01	4.4
4.262261641	1.65E+01	4.4
4.313614191	1.74E+01	4.4
4.364966741	1.83E+01	4.4
4.416319291	1.93E+01	4.4
4.467671841	1.93E+01	4.4
4.519024391	2.03E+01	4.4
4.570376941	2.13E+01	4.4
4.621729491	2.23E+01	4.4
4.67308204	2.34E+01	4.4
4.72443459	2.35E+01	4.4
4.77578714	2.46E+01	4.4
4.82713969	2.58E+01	4.4
4.87849224	2.71E+01	4.4
4.92984479	2.71E+01	4.4
4.98119734	2.84E+01	4.4
5.03254989	2.98E+01	4.4
5.08390244	2.98E+01	4.4
5.135254989	3.12E+01	4.4
5.186607539	3.12E+01	4.4
5.237960089	3.28E+01	4.4
5.289312639	3.28E+01	4.4
5.340665189	3.44E+01	4.4
5.392017739	3.44E+01	4.4
5.443370289	3.61E+01	4.4
5.494722839	3.61E+01	4.4
5.546075389	3.79E+01	4.4
5.597427939	3.80E+01	4.4
5.648780488	3.80E+01	4.4
5.700133038	3.99E+01	4.4
5.751485588	3.99E+01	4.4
5.802838138	4.19E+01	4.4
5.854190688	4.20E+01	4.4
5.905543238	4.20E+01	4.4
5.956895788	4.41E+01	4.4
6.008248338	4.42E+01	4.4
6.059600888	4.43E+01	4.4
6.110953437	4.43E+01	4.4
6.162305987	4.43E+01	4.4
6.213658537	4.43E+01	4.4
6.265011087	4.66E+01	4.4
6.316363637	4.66E+01	4.4
6.367716187	4.67E+01	4.4
6.419068737	4.67E+01	4.4
6.470421287	4.67E+01	4.4
6.521773837	4.67E+01	4.4
6.573126387	4.67E+01	4.4
6.624478936	4.92E+01	4.4
6.675831486	4.93E+01	4.4
6.727184036	4.94E+01	4.4
6.778536586	4.94E+01	4.4
6.829889136	4.94E+01	4.4
6.881241686	4.94E+01	4.4
6.932594236	4.94E+01	4.4
6.983946786	4.94E+01	4.4
7.035299336	4.94E+01	4.4
0.05135254989	0.0002481743827	8.5
1.03E-01	0.004007464295	8.5
1.54E-01	0.01503607472	8.5
2.05E-01	0.03300632015	8.5
2.57E-01	0.05801757546	8.5
3.08E-01	0.08877630798	8.5
3.59E-01	0.1242427822	8.5
4.11E-01	0.1635151775	8.5
4.62E-01	0.2057615764	8.5
5.14E-01	0.2502354708	8.5
5.65E-01	0.2962148961	8.5
6.16E-01	0.3430190946	8.5
6.68E-01	0.3900148645	8.5
7.19E-01	0.4366296065	8.5
7.70E-01	0.4823503671	8.5
8.22E-01	0.5267413198	8.5
8.73E-01	0.5695080115	8.5
0.9243458981	0.6104614349	8.5
0.975698448	0.6493863812	8.5
1.027050998	0.6861290734	8.5
1.078403548	0.7205844088	8.5
1.129756098	0.7527038448	8.5
1.181108648	0.7824666131	8.5
1.232461197	0.809887324	8.5
1.283813747	0.8350018257	8.5
1.335166297	0.8578755202	8.5
1.386518847	0.8786158687	8.5
1.437871397	0.8975006949	8.5
1.489223947	0.9144711459	8.5
1.540576497	0.929722497	8.5
1.591929047	0.9433547892	8.5
1.643281597	0.9554751353	8.5
1.694634147	0.966187538	8.5
1.745986696	0.975585011	8.5
1.797339246	0.9837673257	8.5
1.848691796	0.9908167848	8.5
1.900044346	0.9968274248	8.5
1.951396896	1.001875922	8.5
2.002749446	1.006037388	8.5
2.054101996	1.00938343	8.5
2.105454546	1.011984758	8.5
2.156807096	1.013899716	8.5
2.208159645	1.015189607	8.5
2.259512195	1.116319162	8.5
2.310864745	1.117371892	8.5
2.362217295	1.118091278	8.5
2.413569845	1.11869362	8.5
2.464922395	1.120009193	8.5
2.516274945	1.120542343	8.5
2.567627495	1.121031519	8.5
2.618980045	1.121482977	8.5
2.670332595	1.121899273	8.5
2.721685144	1.122280851	8.5
2.773037694	1.324708966	8.5
2.824390244	1.325027128	8.5
2.875742794	1.325333213	8.5
2.927095344	1.3255954	8.5
2.978447894	1.606417161	8.5
3.029800444	1.606973022	8.5
3.081152994	1.607197418	8.5
3.132505544	1.938002516	8.5
3.183858093	1.938779415	8.5
3.235210643	2.309590315	8.5
3.286563193	2.312441067	8.5
3.337915743	2.715054197	8.5
3.389268293	2.720526706	8.5
3.440620843	3.15619391	8.5
3.491973393	3.159612327	8.5
3.543325943	3.630973875	8.5
3.594678493	3.634249001	8.5
3.646031043	4.138428372	8.5
3.697383592	4.665107706	8.5
3.748736142	5.219679635	8.5
3.800088692	5.23479717	8.5
3.851441242	5.822232453	8.5
3.902793792	6.437435814	8.5
3.954146342	6.449977685	8.5
4.005498892	7.102320337	8.5
4.056851442	7.778639349	8.5
4.108203992	7.793712109	8.5
4.159556541	8.515925626	8.5
4.210909091	8.525090064	8.5
4.262261641	9.286118473	8.5
4.313614191	10.07278137	8.5
4.364966741	10.08913369	8.5
4.416319291	10.9261083	8.5
4.467671841	11.78922756	8.5
4.519024391	11.81326129	8.5
4.570376941	12.72861756	8.5
4.621729491	12.74011672	8.5
4.67308204	13.70880531	8.5
4.72443459	13.71984178	8.5
4.77578714	14.74057174	8.5
4.82713969	15.79106754	8.5
4.87849224	15.8198774	8.5
4.92984479	16.94271315	8.5
4.98119734	16.96004411	8.5
5.03254989	18.13633663	8.5
5.08390244	18.15857607	8.5
5.135254989	19.39691441	8.5
5.186607539	19.41476322	8.5
5.237960089	20.72510341	8.5
5.289312639	20.74578489	8.5
5.340665189	22.12695987	8.5
5.392017739	22.15002399	8.5
5.443370289	23.59877534	8.5
5.494722839	23.63012301	8.5
5.546075389	23.66868147	8.5
5.597427939	25.18532339	8.5
5.648780488	25.20518361	8.5
5.700133038	26.83541493	8.5
5.751485588	26.86227372	8.5
5.802838138	26.91674823	8.5
5.854190688	28.61447604	8.5
5.905543238	28.63524019	8.5
5.956895788	30.46592211	8.5
6.008248338	30.49304944	8.5
6.059600888	30.55025477	8.5
6.110953437	32.45058464	8.5
6.162305987	32.4833182	8.5
6.213658537	32.54439157	8.5
6.265011087	34.56586761	8.5
6.316363637	34.59846422	8.5
6.367716187	34.66611691	8.5
6.419068737	36.81643785	8.5
6.470421287	36.84887832	8.5
6.521773837	36.92389744	8.5
6.573126387	39.21134124	8.5
6.624478936	39.24376019	8.5
6.675831486	39.32758905	8.5
6.727184036	41.76182908	8.5
6.778536586	41.7905868	8.5
6.829889136	41.90301998	8.5
6.881241686	41.91233419	8.5
6.932594236	44.52964617	8.5
6.983946786	44.55198396	8.5
7.035299336	44.68373175	8.5
0.05135254989	1.19E-04	17
0.1027050998	1.36E-03	17
0.1540576497	4.57E-03	17
0.2054101996	9.67E-03	17
0.2567627495	1.68E-02	17
0.3081152994	2.57E-02	17
0.3594678493	3.60E-02	17
0.4108203992	4.75E-02	17
0.4621729491	5.99E-02	17
0.5135254989	7.31E-02	17
0.5648780488	8.68E-02	17
0.6162305987	1.01E-01	17
0.6675831486	1.15E-01	17
0.7189356985	1.29E-01	17
0.7702882484	1.43E-01	17
0.8216407983	1.57E-01	17
0.8729933482	1.70E-01	17
0.9243458981	1.82E-01	17
0.975698448	1.94E-01	17
1.027050998	2.06E-01	17
1.078403548	2.17E-01	17
1.129756098	2.27E-01	17
1.181108648	2.37E-01	17
1.232461197	2.45E-01	17
1.283813747	2.54E-01	17
1.335166297	2.61E-01	17
1.386518847	2.68E-01	17
1.437871397	2.75E-01	17
1.489223947	2.81E-01	17
1.540576497	2.86E-01	17
1.591929047	2.91E-01	17
1.643281597	2.95E-01	17
1.694634147	2.99E-01	17
1.745986696	3.02E-01	17
1.797339246	3.06E-01	17
1.848691796	3.08E-01	17
1.900044346	3.11E-01	17
1.951396896	3.13E-01	17
2.002749446	3.14E-01	17
2.054101996	3.16E-01	17
2.105454546	3.17E-01	17
2.156807096	3.18E-01	17
2.208159645	3.19E-01	17
2.259512195	3.20E-01	17
2.310864745	3.21E-01	17
2.362217295	3.21E-01	17
2.413569845	3.22E-01	17
2.464922395	4.70E-01	17
2.516274945	4.72E-01	17
2.567627495	4.74E-01	17
2.618980045	4.74E-01	17
2.670332595	4.74E-01	17
2.721685144	4.75E-01	17
2.773037694	4.76E-01	17
2.824390244	4.78E-01	17
2.875742794	4.78E-01	17
2.927095344	4.79E-01	17
2.978447894	7.60E-01	17
3.029800444	7.63E-01	17
3.081152994	7.65E-01	17
3.132505544	7.70E-01	17
3.183858093	7.72E-01	17
3.235210643	1.13E+00	17
3.286563193	1.14E+00	17
3.337915743	1.15E+00	17
3.389268293	1.56E+00	17
3.440620843	1.57E+00	17
3.491973393	1.58E+00	17
3.543325943	2.05E+00	17
3.594678493	2.06E+00	17
3.646031043	2.57E+00	17
3.697383592	2.58E+00	17
3.748736142	2.60E+00	17
3.800088692	3.15E+00	17
3.851441242	3.17E+00	17
3.902793792	3.77E+00	17
3.954146342	3.79E+00	17
4.005498892	4.43E+00	17
4.056851442	4.45E+00	17
4.108203992	4.47E+00	17
4.159556541	5.16E+00	17
4.210909091	5.18E+00	17
4.262261641	5.91E+00	17
4.313614191	5.94E+00	17
4.364966741	5.96E+00	17
4.416319291	6.74E+00	17
4.467671841	6.76E+00	17
4.519024391	7.60E+00	17
4.570376941	7.62E+00	17
4.621729491	7.64E+00	17
4.67308204	8.54E+00	17
4.72443459	8.55E+00	17
4.77578714	9.50E+00	17
4.82713969	9.53E+00	17
4.87849224	9.56E+00	17
4.92984479	1.06E+01	17
4.98119734	1.06E+01	17
5.03254989	1.06E+01	17
5.08390244	1.17E+01	17
5.135254989	1.17E+01	17
5.186607539	1.17E+01	17
5.237960089	1.29E+01	17
5.289312639	1.29E+01	17
5.340665189	1.41E+01	17
5.392017739	1.41E+01	17
5.443370289	1.42E+01	17
5.494722839	1.55E+01	17
5.546075389	1.55E+01	17
5.597427939	1.55E+01	17
5.648780488	1.55E+01	17
5.700133038	1.69E+01	17
5.751485588	1.70E+01	17
5.802838138	1.84E+01	17
5.854190688	1.85E+01	17
5.905543238	1.85E+01	17
5.956895788	2.01E+01	17
6.008248338	2.01E+01	17
6.059600888	2.01E+01	17
6.110953437	2.01E+01	17
6.162305987	2.18E+01	17
6.213658537	2.18E+01	17
6.265011087	2.19E+01	17
6.316363637	2.36E+01	17
6.367716187	2.37E+01	17
6.419068737	2.37E+01	17
6.470421287	2.56E+01	17
6.521773837	2.56E+01	17
6.573126387	2.57E+01	17
6.624478936	2.77E+01	17
6.675831486	2.77E+01	17
6.727184036	2.78E+01	17
6.778536586	2.78E+01	17
6.829889136	2.99E+01	17
6.881241686	3.00E+01	17
6.932594236	3.00E+01	17
6.983946786	3.00E+01	17
7.035299336	3.23E+01	17
