,Grain-size-ratio index,Grain Size (um),Operation Days,Heat Flux (W/cm2),Fission Rate (10^14 f/cm3/s),Coolant init Temp (C),Fuel Temp (C),Fission Density (10^21 f/cm3),Fuel Swelling (%),Fuel Gas Swelling (%)
9639,1,1.34,3,240.0,6,88,144.1907996418129,0.1555200006214273,1.076109577684947,0.454029575199238
9640,1,1.34,4,240.0,6,88,144.2341259990253,0.2073600008285697,1.624573251637956,0.7951332483236768
9641,1,1.34,5,240.0,6,88,144.3434979089237,0.2592000010357121,2.229237914697117,1.192437910554268
9642,1,1.34,6,240.0,6,88,144.3981193780542,0.3110400012428545,2.864829500638499,1.62066949566708
9643,1,1.34,7,240.0,6,88,144.4556405868609,0.362880001449997,3.51962633936882,2.068106333568832
9644,1,1.34,8,240.0,6,88,144.5165158886773,0.4147200016571394,4.186716996487028,2.52783698985847
9645,1,1.34,9,240.0,6,88,144.5791166303043,0.4665600018642818,4.861106687203094,2.994866679745967
9646,1,1.34,10,240.0,6,88,144.6428423505043,0.5184000020714241,5.539148740681575,3.465548732395877
9647,1,1.34,11,240.0,6,88,144.7072741744015,0.5702400022785665,6.218207955576117,3.937247946461851
9648,1,1.34,12,240.0,6,88,144.7721049185857,0.6220800024857089,6.896058233350089,4.407738223407253
9649,1,1.34,13,240.0,6,88,144.8370678522066,0.6739200026928513,7.571098711883673,4.875418701112267
9650,1,1.34,14,240.0,6,88,144.901944373865,0.7257600028999937,8.242192375990538,5.339152364390564
9651,1,1.34,15,240.0,6,88,144.9666080525764,0.7776000031071361,8.908101388441143,5.797701376012597
9652,1,1.34,16,240.0,6,88,145.0309217261494,0.8294400033142785,9.567691639073312,6.249931625816199
9653,1,1.34,17,240.0,6,88,145.0947451304245,0.8812800035214209,10.21990441699532,6.694784402909633
9654,1,1.34,18,240.0,6,88,145.1579438158449,0.9331200037285632,10.8638102356182,7.131330220703946
9655,1,1.34,19,240.0,6,88,145.220401669253,0.9849600039357056,11.49871646903086,7.558876453288041
9656,1,1.34,20,240.0,6,88,145.2820179046925,1.036800004142848,12.12372859780683,7.976528581235439
9657,1,1.34,21,240.0,6,88,145.3426731681914,1.08864000434999,12.73817731187281,8.38361729447285
9658,1,1.34,22,240.0,6,88,145.4022778414242,1.140480004557133,13.34166459478659,8.779744576558066
9659,1,1.34,23,240.0,6,88,145.4607492178407,1.192320004764275,13.93358932750462,9.16430930844752
9660,1,1.34,24,240.0,6,88,145.518005094818,1.244160004971418,14.51348327407362,9.536843254187945
9661,1,1.34,25,240.0,6,88,145.5739644194674,1.29600000517856,15.0812056547404,9.897205634026156
9662,1,1.34,26,240.0,6,88,145.6285974262945,1.3478400053857031,15.63635438448868,10.24499436294586
9663,1,1.34,27,240.0,6,88,145.6818251991679,1.3996800055928451,16.17899524148697,10.58027521911559
9664,1,1.34,28,240.0,6,88,145.7336336511515,1.451520005799988,16.70884947895635,10.9027694557564
9665,1,1.34,29,240.0,6,88,145.7839593655432,1.50336000600713,17.22679434794111,11.21335432391259
9666,1,1.34,30,240.0,6,88,145.8328264832085,1.555200006214273,17.73315320819712,11.51235318334003
9667,1,1.34,31,240.0,6,88,145.8803436309033,1.607040006421415,18.22788599569579,11.79972597001012
9668,1,1.34,32,240.0,6,88,145.9265102420716,1.658880006628558,18.71099618335927,12.07547615684504
9669,1,1.34,33,240.0,6,88,145.9712928343565,1.7107200068357,19.18264849084398,12.33976846350118
9670,1,1.34,34,240.0,6,88,146.0146976071836,1.762560007042843,19.64282665537973,12.59258662720836
9671,1,1.34,35,240.0,6,88,146.05671983983,1.814400007249986,20.09160943261261,12.83400940361267
9672,1,1.34,36,240.0,6,88,146.0973599623314,1.866240007457128,20.52931245058463,13.06435242075611
9673,1,1.34,37,240.0,6,88,146.1366186867443,1.918080007664271,20.95613301662551,13.28381298596843
9674,1,1.34,38,240.0,6,88,146.1745231971404,1.9699200078714127,21.36892260723144,13.48924257574579
9675,1,1.34,39,240.0,6,88,146.2128669331435,2.021760008078556,21.77044138917478,13.68340135686056
9676,1,1.34,40,240.0,6,88,146.249605998246,2.0736000082856982,22.16045513557875,13.86605510243596
9677,1,1.34,41,240.0,6,88,146.2847778405915,2.125440008492841,22.53754067576135,14.03578064178999
9678,1,1.34,42,240.0,6,88,146.3173033530346,2.177280008699983,22.90202173828156,14.19290170348163
9679,1,1.34,43,240.0,6,88,146.3477074553921,2.229120008907126,23.25444715679723,14.33796712116873
9680,1,1.34,44,240.0,6,88,146.3763080033773,2.280960009114268,23.60182446064851,14.47798442419143
9681,1,1.34,45,240.0,6,88,146.4078856060797,2.332800009321411,23.93145131966555,14.60025128237991
