dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
4.3636e-05,0.72468,0.0227,1.9073e-18,29013.0,6.3147e-10,5.2957e-31,1.0368e+21,4.3648,0.21758
4.3636e-05,0.72468,0.0227,1.9073e-18,29013.0,6.3147e-10,5.2957e-31,2.0045e+21,8.3467,0.32881
4.3636e-05,0.72468,0.0227,1.9073e-18,29013.0,6.3147e-10,5.2957e-31,3.0413e+21,13.012,0.84717
4.3636e-05,0.72468,0.0227,1.9073e-18,29013.0,6.3147e-10,5.2957e-31,4.009e+21,20.767,4.7314
4.3636e-05,0.72468,0.0227,1.9073e-18,29013.0,6.3147e-10,5.2957e-31,5.0458e+21,32.409,12.226
4.3636e-05,0.72468,0.0227,1.9073e-18,29013.0,6.3147e-10,5.2957e-31,6.0134e+21,44.947,20.893
4.3636e-05,0.72468,0.0227,1.9073e-18,29013.0,6.3147e-10,5.2957e-31,6.9811e+21,59.106,31.182
4.7701e-05,0.89917,0.025874,2.0737e-18,28079.0,6.653e-10,5.7402e-31,1.0368e+21,4.361,0.21381
4.7701e-05,0.89917,0.025874,2.0737e-18,28079.0,6.653e-10,5.7402e-31,2.0045e+21,8.3217,0.3038
4.7701e-05,0.89917,0.025874,2.0737e-18,28079.0,6.653e-10,5.7402e-31,3.0413e+21,12.831,0.66634
4.7701e-05,0.89917,0.025874,2.0737e-18,28079.0,6.653e-10,5.7402e-31,4.009e+21,20.012,3.9759
4.7701e-05,0.89917,0.025874,2.0737e-18,28079.0,6.653e-10,5.7402e-31,5.0458e+21,30.831,10.648
4.7701e-05,0.89917,0.025874,2.0737e-18,28079.0,6.653e-10,5.7402e-31,6.0134e+21,42.531,18.477
4.7701e-05,0.89917,0.025874,2.0737e-18,28079.0,6.653e-10,5.7402e-31,6.9811e+21,55.711,27.786
4.4865e-05,0.83529,0.022412,2.1337e-18,35427.0,6.5775e-10,5.2517e-31,1.0368e+21,4.3508,0.20365
4.4865e-05,0.83529,0.022412,2.1337e-18,35427.0,6.5775e-10,5.2517e-31,2.0045e+21,8.316,0.29804
4.4865e-05,0.83529,0.022412,2.1337e-18,35427.0,6.5775e-10,5.2517e-31,3.0413e+21,12.854,0.68904
4.4865e-05,0.83529,0.022412,2.1337e-18,35427.0,6.5775e-10,5.2517e-31,4.009e+21,20.121,4.0854
4.4865e-05,0.83529,0.022412,2.1337e-18,35427.0,6.5775e-10,5.2517e-31,5.0458e+21,31.053,10.87
4.4865e-05,0.83529,0.022412,2.1337e-18,35427.0,6.5775e-10,5.2517e-31,6.0134e+21,42.858,18.805
4.4865e-05,0.83529,0.022412,2.1337e-18,35427.0,6.5775e-10,5.2517e-31,6.9811e+21,56.152,28.228
4.5721e-05,0.62823,0.027962,1.8698e-18,31139.0,5.5964e-10,5.1044e-31,1.0368e+21,4.3717,0.22446
4.5721e-05,0.62823,0.027962,1.8698e-18,31139.0,5.5964e-10,5.1044e-31,2.0045e+21,8.3671,0.34915
4.5721e-05,0.62823,0.027962,1.8698e-18,31139.0,5.5964e-10,5.1044e-31,3.0413e+21,13.207,1.0414
4.5721e-05,0.62823,0.027962,1.8698e-18,31139.0,5.5964e-10,5.1044e-31,4.009e+21,21.659,5.6236
4.5721e-05,0.62823,0.027962,1.8698e-18,31139.0,5.5964e-10,5.1044e-31,5.0458e+21,34.343,14.16
4.5721e-05,0.62823,0.027962,1.8698e-18,31139.0,5.5964e-10,5.1044e-31,6.0134e+21,47.989,23.935
4.5721e-05,0.62823,0.027962,1.8698e-18,31139.0,5.5964e-10,5.1044e-31,6.9811e+21,63.498,35.573
4.1913e-05,0.72514,0.027069,1.6963e-18,27465.0,6.0259e-10,5.0699e-31,1.0368e+21,4.3759,0.22872
4.1913e-05,0.72514,0.027069,1.6963e-18,27465.0,6.0259e-10,5.0699e-31,2.0045e+21,8.3823,0.36434
4.1913e-05,0.72514,0.027069,1.6963e-18,27465.0,6.0259e-10,5.0699e-31,3.0413e+21,12.984,0.8188
4.1913e-05,0.72514,0.027069,1.6963e-18,27465.0,6.0259e-10,5.0699e-31,4.009e+21,20.335,4.2988
4.1913e-05,0.72514,0.027069,1.6963e-18,27465.0,6.0259e-10,5.0699e-31,5.0458e+21,31.314,11.131
4.1913e-05,0.72514,0.027069,1.6963e-18,27465.0,6.0259e-10,5.0699e-31,6.0134e+21,43.137,19.083
4.1913e-05,0.72514,0.027069,1.6963e-18,27465.0,6.0259e-10,5.0699e-31,6.9811e+21,56.435,28.511
4.4242e-05,0.87579,0.024221,1.8183e-18,33842.0,6.6752e-10,5.1367e-31,1.0368e+21,4.3728,0.22555
