%eval_id interface dGrainHBS FaceCovMax SwellLink vResol DatomFissGBx fNucleate aAtomDifFiss FD1 fuel_swelling1 FD2 fuel_swelling2 FD3 fuel_swelling3
0 1 4.364E-05 0.725 2.270E-02 1.907E-18 2.901E+04 6.315E-10 5.296E-31 .2004480008009508E+22 8.346732120670451 .4008960016019010E+22 20.76725866970585 .6013440024028510E+22 44.94708675505346
0 2 4.770E-05 0.899 2.587E-02 2.074E-18 2.808E+04 6.653E-10 5.740E-31 .2004480008009508E+22 8.321715085127112 .4008960016019010E+22 20.01173782639893 .6013440024028510E+22 42.53124975649867
0 3 4.487E-05 0.835 2.241E-02 2.134E-18 3.543E+04 6.577E-10 5.252E-31 .2004480008009508E+22 8.315955959933232 .4008960016019010E+22 20.12123458900577 .6013440024028510E+22 42.85831294991881
0 4 4.572E-05 0.628 2.796E-02 1.870E-18 3.114E+04 5.596E-10 5.104E-31 .2004480008009508E+22 8.367065675114322 .4008960016019010E+22 21.65942875964634 .6013440024028510E+22 47.98893916449492
0 5 4.191E-05 0.725 2.707E-02 1.696E-18 2.747E+04 6.026E-10 5.070E-31 .2004480008009508E+22 8.382259721461825 .4008960016019010E+22 20.33467352519892 .6013440024028510E+22 43.13685755045967
0 6 4.424E-05 0.876 2.422E-02 1.818E-18 3.384E+04 6.675E-10 5.137E-31 .2004480008009508E+22 8.369694514013670 .4008960016019010E+22 19.72809434646351 .6013440024028510E+22 41.23036145314771
0 7 4.303E-05 0.860 2.801E-02 2.252E-18 3.073E+04 5.768E-10 4.823E-31 .2004480008009508E+22 8.271986409458901 .4008960016019010E+22 19.33880426278823 .6013440024028510E+22 40.16035385200907
0 8 4.775E-05 0.802 2.140E-02 2.135E-18 2.933E+04 6.886E-10 5.894E-31 .2004480008009508E+22 8.316987782464805 .4008960016019010E+22 20.88819064939581 .6013440024028510E+22 45.68892655054437
0 9 4.561E-05 0.678 2.477E-02 2.050E-18 2.762E+04 5.025E-10 4.776E-31 .2004480008009508E+22 8.311224316298869 .4008960016019010E+22 21.32900343555739 .6013440024028510E+22 47.11821570833193
0 10 3.141E-05 0.777 2.392E-02 1.935E-18 3.611E+04 6.279E-10 4.562E-31 .2004480008009508E+22 8.327726922312312 .4008960016019010E+22 17.84101756404882 .6013440024028510E+22 34.20002225841585
0 11 4.791E-05 0.797 2.549E-02 1.947E-18 3.200E+04 5.126E-10 5.098E-31 .2004480008009508E+22 8.362786585794959 .4008960016019010E+22 20.84274075207964 .6013440024028510E+22 45.28807412603777
0 12 4.368E-05 0.807 1.844E-02 2.082E-18 2.670E+04 5.974E-10 6.603E-31 .2004480008009508E+22 8.362735085415705 .4008960016019010E+22 20.29799334507873 .6013440024028510E+22 43.39222455116698
0 13 3.605E-05 0.787 2.321E-02 1.676E-18 2.850E+04 5.262E-10 5.618E-31 .2004480008009508E+22 8.436588449540720 .4008960016019010E+22 18.86987745474220 .6013440024028510E+22 37.73595286973458
0 14 4.111E-05 0.821 2.626E-02 2.048E-18 2.888E+04 5.342E-10 4.945E-31 .2004480008009508E+22 8.318350022512320 .4008960016019010E+22 19.38452720122120 .6013440024028510E+22 40.11424982802399
0 15 3.813E-05 0.745 2.290E-02 2.203E-18 2.490E+04 5.670E-10 3.680E-31 .2004480008009508E+22 8.194331599924709 .4008960016019010E+22 19.36696665910398 .6013440024028510E+22 40.32798867936193
0 16 3.970E-05 0.634 2.384E-02 2.322E-18 3.400E+04 5.304E-10 5.000E-31 .2004480008009508E+22 8.288648901436440 .4008960016019010E+22 20.65228250570726 .6013440024028510E+22 44.56510730254662
0 17 3.997E-05 0.751 2.534E-02 1.866E-18 2.419E+04 5.363E-10 4.636E-31 .2004480008009508E+22 8.319332504293179 .4008960016019010E+22 19.74430293710931 .6013440024028510E+22 41.28720039610801
0 18 4.695E-05 0.777 2.327E-02 2.137E-18 3.084E+04 6.374E-10 4.969E-31 .2004480008009508E+22 8.289572461609641 .4008960016019010E+22 20.83532204031152 .6013440024028510E+22 45.51113733281353
0 19 4.672E-05 0.801 2.581E-02 1.743E-18 3.019E+04 5.471E-10 5.625E-31 .2004480008009508E+22 8.422496669270240 .4008960016019010E+22 20.68021580247006 .6013440024028510E+22 44.47508560818291
0 20 3.670E-05 0.790 2.427E-02 2.189E-18 3.072E+04 4.496E-10 4.655E-31 .2004480008009508E+22 8.302209199728329 .4008960016019010E+22 18.77706742600642 .6013440024028510E+22 37.91069272822042
0 21 4.813E-05 0.845 2.662E-02 1.952E-18 3.171E+04 6.120E-10 5.663E-31 .2004480008009508E+22 8.368297293332407 .4008960016019010E+22 20.49962556647318 .6013440024028510E+22 44.05091595793552
0 22 4.611E-05 0.651 2.502E-02 2.075E-18 2.854E+04 6.126E-10 4.744E-31 .2004480008009508E+22 8.285992742466703 .4008960016019010E+22 21.55922412935892 .6013440024028510E+22 48.02919426848882
0 23 4.274E-05 0.847 1.934E-02 2.138E-18 2.590E+04 5.112E-10 4.882E-31 .2004480008009508E+22 8.290474262119528 .4008960016019010E+22 19.69103337327886 .6013440024028510E+22 41.45639317860439
0 24 4.398E-05 0.726 2.891E-02 1.824E-18 3.027E+04 6.655E-10 5.320E-31 .2004480008009508E+22 8.365430962782980 .4008960016019010E+22 20.59004021824002 .6013440024028510E+22 44.14686315985020
0 25 3.567E-05 0.638 2.362E-02 2.172E-18 3.047E+04 6.023E-10 4.474E-31 .2004480008009508E+22 8.262966093328840 .4008960016019010E+22 19.80876676188055 .6013440024028510E+22 41.48803356796415
0 26 4.212E-05 0.734 2.793E-02 1.784E-18 3.483E+04 6.531E-10 5.662E-31 .2004480008009508E+22 8.410311762765943 .4008960016019010E+22 20.29936323248579 .6013440024028510E+22 42.93740060876643
0 27 4.737E-05 0.721 2.840E-02 2.198E-18 2.605E+04 6.200E-10 5.475E-31 .2004480008009508E+22 8.285199248949638 .4008960016019010E+22 21.06617672036871 .6013440024028510E+22 46.30139704007507
0 28 3.541E-05 0.669 2.533E-02 2.139E-18 3.263E+04 6.088E-10 5.330E-31 .2004480008009508E+22 8.318008482830978 .4008960016019010E+22 19.49277199241093 .6013440024028510E+22 40.20035535115625
0 29 3.908E-05 0.649 3.098E-02 2.350E-18 3.040E+04 6.641E-10 5.178E-31 .2004480008009508E+22 8.254587733178742 .4008960016019010E+22 20.07654335189844 .6013440024028510E+22 42.53348690198138
0 30 3.649E-05 0.739 2.141E-02 1.997E-18 2.748E+04 5.746E-10 5.241E-31 .2004480008009508E+22 8.329552259216149 .4008960016019010E+22 19.28037636672824 .6013440024028510E+22 39.55909918878198
0 31 3.813E-05 0.710 1.929E-02 1.617E-18 2.932E+04 5.338E-10 5.416E-31 .2004480008009508E+22 8.442688779098670 .4008960016019010E+22 20.07872959211523 .6013440024028510E+22 42.00611586117506
0 32 4.427E-05 0.779 2.834E-02 2.088E-18 2.657E+04 5.876E-10 5.131E-31 .2004480008009508E+22 8.299200917474117 .4008960016019010E+22 20.17035541405538 .6013440024028510E+22 42.98992595841995
0 33 3.900E-05 0.813 2.256E-02 1.946E-18 3.366E+04 6.326E-10 4.582E-31 .2004480008009508E+22 8.318041483525533 .4008960016019010E+22 19.19070918188089 .6013440024028510E+22 39.35968679065034
0 34 3.818E-05 0.670 2.708E-02 1.861E-18 3.383E+04 5.150E-10 4.996E-31 .2004480008009508E+22 8.381678915168065 .4008960016019010E+22 20.06453911742104 .6013440024028510E+22 42.04764938804004
0 35 3.186E-05 0.709 2.392E-02 1.859E-18 2.855E+04 6.665E-10 4.439E-31 .2004480008009508E+22 8.304264492231715 .4008960016019010E+22 18.43135973726064 .6013440024028510E+22 36.36703959751237
