ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
1,1.09E-05,0.5436843032,0.04613330166,2.64E-09,16566.4728,2.16E-07,2.47E-09,2.62E-18,6.82E-07,21.8422818,0.491957305
2,3.78E-05,0.9023071733,0.06635178366,9.90E-10,49866.11584,4.42E-09,1.46E-09,1.45E-18,3.41E-07,54.30884876,32.95852426
3,5.42E-05,0.7714756045,0.04086973104,3.83E-09,25301.602,1.34E-07,1.60E-09,2.14E-18,6.41E-07,45.65643911,24.30611461
4,7.28E-05,0.7636863465,0.06167942419,2.62E-09,12046.2757,7.75E-08,2.50E-09,1.00E-18,4.75E-07,53.78335388,32.43302938
5,6.39E-05,0.7691327806,0.07032858884,4.74E-09,22337.97143,3.29E-08,2.77E-09,1.35E-18,9.66E-07,41.53019542,20.17987093
6,1.13E-05,0.700145097,0.07170900217,2.64E-09,44058.84931,3.04E-07,8.50E-10,1.79E-18,8.06E-07,24.36858957,3.018265072
7,4.95E-05,0.9046938236,0.02428018888,2.85E-09,33865.59296,7.45E-08,1.75E-09,2.93E-18,9.51E-07,42.88634461,21.53602012
8,1.46E-05,0.8851606547,0.01072503298,2.93E-09,10930.23917,3.18E-07,2.55E-09,2.60E-18,1.00E-06,21.46016213,0.1098376345
9,2.06E-05,0.8811607588,0.03928601391,3.41E-09,30253.27653,2.75E-07,1.78E-09,2.94E-18,9.26E-07,21.68383675,0.3335122576
10,1.85E-05,0.8401593814,0.04785312294,1.04E-09,17070.19524,3.31E-07,7.05E-10,1.03E-18,6.88E-07,31.48555704,10.13523255
11,1.03E-05,0.7413486751,0.03510527693,2.31E-09,42959.16741,9.86E-09,5.56E-10,2.24E-18,9.81E-07,29.1051505,7.754826009
12,6.59E-05,0.667826214,0.05198631266,4.42E-09,35025.36742,1.49E-07,1.31E-09,2.83E-18,7.46E-07,50.3672306,29.0169061
13,3.12E-05,0.6651715977,0.06226119431,8.03E-10,13905.43277,1.19E-08,2.43E-09,2.37E-18,5.77E-07,51.29191546,29.94159096
14,9.31E-05,0.5749850696,0.0447241914,3.11E-09,44366.66558,2.43E-07,9.29E-10,3.49E-18,8.03E-07,68.42848215,47.07815766
15,5.10E-05,0.6156309606,0.04525904079,2.69E-09,37936.16685,3.48E-07,1.01E-09,1.24E-18,4.13E-07,51.67482638,30.32450188
16,3.88E-05,0.538373472,0.06786100087,2.21E-09,9516.706935,2.34E-07,2.38E-09,3.38E-18,5.47E-07,35.30085744,13.95053295
17,5.13E-05,0.5784756569,0.02981903429,4.70E-09,7477.628008,2.42E-07,1.12E-09,3.91E-18,3.24E-07,53.12527887,31.77495437
18,9.88E-05,0.9031803932,0.01092892835,3.66E-09,34375.15738,2.78E-07,1.09E-09,1.94E-18,9.71E-07,81.0854154,59.7350909
19,9.25E-05,0.5442831151,0.03267489182,4.95E-09,45914.21923,6.27E-09,1.82E-09,1.84E-18,7.59E-07,79.75765764,58.40733315
20,3.37E-05,0.9059557657,0.07914191959,1.88E-09,11863.99823,2.79E-07,5.33E-10,1.15E-18,3.96E-07,29.11085384,7.760529341
21,8.09E-05,0.5240637406,0.01982254191,4.20E-09,37017.97864,3.54E-07,7.66E-10,1.85E-18,4.64E-07,79.07473113,57.72440663
22,8.02E-05,0.8938495801,0.07381756371,1.74E-09,27942.30786,3.04E-07,2.24E-09,1.22E-18,9.42E-07,51.0240338,29.6737093
23,9.57E-05,0.8742497152,0.03751036961,4.07E-09,49186.72003,6.01E-08,9.62E-10,2.87E-18,9.62E-07,65.71798503,44.36766054
24,4.31E-05,0.6374882371,0.0606373633,3.71E-09,24016.92227,5.54E-09,2.76E-09,2.38E-18,2.61E-07,37.80745554,16.45713104
25,2.76E-05,0.8756754145,0.03442294066,3.43E-09,24852.08275,3.39E-07,9.37E-10,3.29E-18,7.97E-07,23.52877972,2.178455228
26,5.25E-05,0.6533269095,0.02314371438,4.73E-09,29800.31768,1.82E-07,1.52E-09,3.11E-18,7.12E-07,53.61706752,32.26674303
27,4.42E-05,0.6131706288,0.01939568736,6.27E-10,13232.64032,3.58E-07,2.74E-09,3.85E-18,3.97E-07,61.58559942,40.23527493
28,6.24E-05,0.6026634836,0.02443291036,6.88E-10,12089.80587,5.89E-08,4.71E-10,1.26E-18,5.77E-07,123.4627642,102.1124397
29,1.34E-05,0.9052970971,0.06914450717,3.95E-09,11308.18025,3.10E-07,6.69E-10,3.26E-18,3.47E-07,21.43676802,0.08644352292
30,8.74E-05,0.7707776377,0.0229609058,1.64E-09,44145.58777,1.73E-07,9.75E-10,2.17E-18,4.49E-07,78.06167572,56.71135122
31,4.97E-05,0.5136984876,0.06280676063,2.15E-09,18110.62756,3.50E-07,2.09E-09,1.23E-18,7.95E-07,49.24446553,27.89414103
32,8.16E-05,0.6014263877,0.04056151891,4.67E-09,19832.51785,3.35E-07,9.53E-10,3.69E-18,4.39E-07,63.13145446,41.78112997
33,4.43E-05,0.5866287151,0.02502359373,2.41E-09,20010.99904,3.15E-07,2.92E-09,1.28E-18,4.03E-07,52.57187123,31.22154673
34,5.41E-05,0.7225247354,0.01471644413,2.03E-09,13844.3018,1.41E-07,3.21E-10,2.70E-18,6.66E-07,57.00032557,35.65000108
35,3.07E-05,0.7776325038,0.05816048812,2.25E-09,7508.890818,2.16E-07,9.03E-10,2.36E-18,6.74E-07,26.33787287,4.987548376
36,9.38E-05,0.8107495456,0.05591234361,1.28E-09,15948.22516,2.03E-07,5.23E-10,2.21E-18,8.77E-07,69.06668998,47.71636549
37,3.64E-05,0.631042201,0.05836293199,3.42E-09,18172.87354,3.31E-07,1.25E-09,2.21E-18,2.78E-07,33.88213663,12.53181214
38,4.51E-05,0.7119224308,0.05114588487,4.18E-09,13984.52318,2.66E-07,5.01E-10,2.04E-18,9.55E-07,39.49757393,18.14724944
39,6.43E-05,0.5120080736,0.07477223216,4.77E-09,20630.82832,2.32E-07,2.70E-09,2.88E-18,7.27E-07,42.57488766,21.22456317
40,3.52E-05,0.5523640636,0.02611408605,4.81E-09,47413.7587,1.44E-07,1.26E-09,3.88E-18,4.26E-07,41.96640799,20.61608349
41,5.47E-05,0.8676678588,0.07922924665,4.01E-09,37145.22114,1.57E-07,2.30E-09,2.53E-18,6.86E-07,33.07386778,11.72354328
42,8.44E-05,0.7289067233,0.04640037686,1.02E-09,9166.720832,1.23E-08,1.33E-09,3.55E-18,8.63E-07,73.19251882,51.84219432
43,5.48E-05,0.8503922004,0.07338719399,3.21E-09,11089.35398,4.45E-08,1.99E-09,3.97E-18,2.86E-07,34.66277287,13.31244837
44,9.40E-05,0.5596881217,0.04191897156,4.26E-09,16451.98701,3.01E-07,2.16E-09,3.97E-18,8.22E-07,67.31483818,45.96451368
45,5.56E-05,0.8717527416,0.06302857774,4.30E-09,49049.84618,3.34E-08,1.71E-09,2.51E-18,4.96E-07,37.90625205,16.55592755
46,6.43E-05,0.8627839332,0.01950524711,1.38E-09,9219.01363,6.79E-08,1.61E-09,3.06E-18,5.70E-07,58.39908882,37.04876432
47,9.43E-05,0.8316385219,0.04102199236,3.36E-09,7933.417271,3.60E-07,2.49E-09,2.92E-18,9.05E-07,61.38712,40.03679551
48,5.04E-05,0.6814144786,0.06820144453,1.01E-09,26618.17873,3.82E-08,2.73E-09,2.64E-18,7.87E-07,54.26856512,32.91824063
49,8.69E-05,0.6440910573,0.06416797591,2.61E-09,24733.87338,1.06E-07,2.86E-09,2.47E-18,6.11E-07,53.12468854,31.77436404
50,8.51E-05,0.5138375296,0.01659960951,2.80E-09,10737.35477,3.99E-07,1.61E-09,3.17E-18,9.19E-07,80.52386227,59.17353778
51,7.36E-05,0.6053528621,0.06174828328,2.72E-09,8756.817433,9.41E-08,2.46E-09,3.30E-18,2.90E-07,49.49733409,28.14700959
52,8.25E-05,0.6519210837,0.04143956717,1.84E-09,17897.26673,3.06E-08,2.30E-09,2.75E-18,4.37E-07,68.24202773,46.89170323
53,1.89E-05,0.8868096592,0.02912774739,3.83E-09,23749.89981,1.97E-07,1.65E-09,3.03E-18,6.37E-07,21.47594857,0.1256240736
54,9.54E-05,0.7650538555,0.02354647637,1.60E-09,40396.37306,4.29E-08,1.78E-09,1.06E-18,4.46E-07,95.873775,74.52345051
55,5.12E-05,0.9005713146,0.06479177485,1.79E-09,21393.30376,1.30E-07,1.57E-09,3.73E-18,5.87E-07,35.29544856,13.94512407
56,9.77E-05,0.7244907262,0.02922035634,4.75E-09,46024.42183,3.96E-07,2.11E-09,3.70E-18,4.84E-07,73.19336484,51.84304034
57,5.74E-05,0.811694179,0.02448697004,3.55E-09,18972.17259,3.73E-07,2.64E-09,3.81E-18,7.41E-07,51.14378882,29.79346432
58,2.17E-05,0.5263210093,0.07011218459,3.65E-09,41515.76479,1.81E-07,1.41E-09,1.43E-18,2.63E-07,28.27967627,6.929351775
59,1.82E-05,0.6096279138,0.07588283814,1.61E-09,22802.75024,3.99E-07,2.53E-09,3.40E-18,2.88E-07,22.68941243,1.33908794
60,7.99E-05,0.7770008987,0.04696044096,8.08E-10,40557.23042,1.13E-07,2.29E-09,3.25E-18,5.52E-07,69.82474395,48.47441946
61,2.52E-05,0.6119586304,0.07683942843,3.06E-09,6989.944732,1.87E-07,2.56E-09,1.90E-18,8.35E-07,24.04942971,2.699105212
62,3.49E-05,0.629499709,0.04930977459,4.03E-09,6242.488738,3.60E-09,7.52E-10,1.55E-18,3.96E-07,38.91330924,17.56298475
