dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,Fuel_Swelling,Porosity,Bubble_Size
1.09E-05,0.543684303,0.046133302,2.64E-09,16566.4728,2.16E-07,2.47E-09,2.62E-18,6.82E-07,21.8422818,0.101243331,0.029150571
3.78E-05,0.902307173,0.066351784,9.90E-10,49866.11584,4.42E-09,1.46E-09,1.45E-18,3.41E-07,54.30884876,20.26704144,1.353575925
5.42E-05,0.771475605,0.040869731,3.83E-09,25301.602,1.34E-07,1.60E-09,2.14E-18,6.41E-07,45.65643911,16.4540638,0.32655591
7.28E-05,0.763686347,0.061679424,2.62E-09,12046.2757,7.75E-08,2.50E-09,1.00E-18,4.75E-07,53.78335388,20.21178807,0.492218521
6.39E-05,0.769132781,0.070328589,4.74E-09,22337.97143,3.29E-08,2.77E-09,1.35E-18,9.66E-07,41.53019542,13.97092776,0.341881177
1.13E-05,0.700145097,0.071709002,2.64E-09,44058.84931,3.04E-07,8.50E-10,1.79E-18,8.06E-07,24.36858957,1.171390725,0.005412785
4.95E-05,0.904693824,0.024280189,2.85E-09,33865.59296,7.45E-08,1.75E-09,2.93E-18,9.51E-07,42.88634461,14.87866429,0.313298828
1.46E-05,0.885160655,0.010725033,2.93E-09,10930.23917,3.18E-07,2.55E-09,2.60E-18,1.00E-06,21.46016213,0.042453226,0.0592354
2.06E-05,0.881160759,0.039286014,3.41E-09,30253.27653,2.75E-07,1.78E-09,2.94E-18,9.26E-07,21.68383675,0.062463095,0.028145339
1.85E-05,0.840159381,0.047853123,1.04E-09,17070.19524,3.31E-07,7.05E-10,1.03E-18,6.88E-07,31.48555704,6.384731219,0.307513278
1.03E-05,0.741348675,0.035105277,2.31E-09,42959.16741,9.86E-09,5.56E-10,2.24E-18,9.81E-07,29.1051505,3.729771544,0.755155836
6.59E-05,0.667826214,0.051986313,4.42E-09,35025.36742,1.49E-07,1.31E-09,2.83E-18,7.46E-07,50.3672306,19.00394435,0.410190741
3.12E-05,0.665171598,0.062261194,8.03E-10,13905.43277,1.19E-08,2.43E-09,2.37E-18,5.77E-07,51.29191546,18.7707501,1.206429857
9.31E-05,0.57498507,0.044724191,3.11E-09,44366.66558,2.43E-07,9.29E-10,3.49E-18,8.03E-07,68.42848215,27.1515288,0.679892052
5.10E-05,0.615630961,0.045259041,2.69E-09,37936.16685,3.48E-07,1.01E-09,1.24E-18,4.13E-07,51.67482638,19.39186703,0.38255308
3.88E-05,0.538373472,0.067861001,2.21E-09,9516.706935,2.34E-07,2.38E-09,3.38E-18,5.47E-07,35.30085744,10.22726626,0.189664744
5.13E-05,0.578475657,0.029819034,4.70E-09,7477.628008,2.42E-07,1.12E-09,3.91E-18,3.24E-07,53.12527887,20.47106741,0.362982685
9.88E-05,0.903180393,0.010928928,3.66E-09,34375.15738,2.78E-07,1.09E-09,1.94E-18,9.71E-07,81.0854154,31.86789052,0.805764809
9.25E-05,0.544283115,0.032674892,4.95E-09,45914.21923,6.27E-09,1.82E-09,1.84E-18,7.59E-07,79.75765764,30.9470613,0.912245829
3.37E-05,0.905955766,0.07914192,1.88E-09,11863.99823,2.79E-07,5.33E-10,1.15E-18,3.96E-07,29.11085384,5.057766421,0.068877554
8.09E-05,0.524063741,0.019822542,4.20E-09,37017.97864,3.54E-07,7.66E-10,1.85E-18,4.64E-07,79.07473113,31.30132952,0.692367949
8.02E-05,0.89384958,0.073817564,1.74E-09,27942.30786,3.04E-07,2.24E-09,1.22E-18,9.42E-07,51.0240338,18.69000833,0.45945141
9.57E-05,0.874249715,0.03751037,4.07E-09,49186.72003,6.01E-08,9.62E-10,2.87E-18,9.62E-07,65.71798503,26.07251907,0.681909279
4.31E-05,0.637488237,0.060637363,3.71E-09,24016.92227,5.54E-09,2.76E-09,2.38E-18,2.61E-07,37.80745554,11.7314636,0.226540272
2.76E-05,0.875675415,0.034422941,3.43E-09,24852.08275,3.39E-07,9.37E-10,3.29E-18,7.97E-07,23.52877972,1.690393371,0.083131641
5.25E-05,0.65332691,0.023143714,4.73E-09,29800.31768,1.82E-07,1.52E-09,3.11E-18,7.12E-07,53.61706752,20.69568369,0.382964573
4.42E-05,0.613170629,0.019395687,6.27E-10,13232.64032,3.58E-07,2.74E-09,3.85E-18,3.97E-07,61.58559942,24.25745288,1.277388273
6.24E-05,0.602663484,0.02443291,6.88E-10,12089.80587,5.89E-08,4.71E-10,1.26E-18,5.77E-07,123.4627642,43.12071038,1.996970449
1.34E-05,0.905297097,0.069144507,3.95E-09,11308.18025,3.10E-07,6.69E-10,3.26E-18,3.47E-07,21.43676802,0.036158201,0.004077348
8.74E-05,0.770777638,0.022960906,1.64E-09,44145.58777,1.73E-07,9.75E-10,2.17E-18,4.49E-07,78.06167572,30.64150509,0.882203299
4.97E-05,0.513698488,0.062806761,2.15E-09,18110.62756,3.50E-07,2.09E-09,1.23E-18,7.95E-07,49.24446553,18.00948506,0.418468466
8.16E-05,0.601426388,0.040561519,4.67E-09,19832.51785,3.35E-07,9.53E-10,3.69E-18,4.39E-07,63.13145446,25.1281534,0.580428825
