dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,C1,C2,C3,C4,C5,C6,Porosity,Fuel_Swelling
6.69E-05,0.76601533,0.057398921,4.32E-09,14938.90999,3.60E-07,1.35E-09,2.85E-18,4.67E-07,10.91098222,0.041399034,3.73E-06,2.34E-13,7.01E-38,0,0.097020614,9.326678486
6.19E-05,0.594928538,0.019026218,2.35E-09,48171.60173,3.43E-07,1.42E-09,3.14E-18,6.35E-07,0.625174998,3.583967532,10.67109977,2.371335584,0.002050132,4.58E-12,1.496736655,10.9349095
4.39E-05,0.711814301,0.024910246,3.62E-09,36275.0408,2.31E-07,1.35E-09,1.33E-18,7.96E-07,0.547857203,1.482120614,6.280435841,7.810463229,0.502719926,7.71E-05,2.124242629,11.70099225
3.63E-05,0.753217478,0.075006564,9.37E-10,10153.06579,2.61E-07,1.90E-09,3.20E-18,9.38E-07,1.676783242,4.232378126,11.63320476,9.801633326,0.551640336,1.75E-06,3.118301491,12.96246636
5.51E-05,0.901750123,0.068948304,2.99E-09,8692.869526,3.51E-07,1.48E-09,3.82E-18,2.71E-07,7.475764894,0.003736631,4.31E-08,4.99E-28,0,0,0.005308253,9.226412778
9.69E-05,0.856855506,0.029056379,1.69E-09,27313.09417,1.64E-07,3.28E-10,1.86E-18,5.69E-07,0.205910205,0.450143941,1.052803015,2.663042793,4.900035577,2.381715508,5.220090946,15.75105516
7.25E-05,0.503197907,0.036758309,3.27E-09,14004.80932,3.30E-07,1.67E-09,3.61E-18,7.63E-07,11.9803758,0.041794485,9.36E-06,3.65E-07,4.43E-10,3.39E-34,0.29636062,9.545262404
1.44E-05,0.572685039,0.017561208,1.90E-09,9057.526374,5.92E-08,2.82E-09,1.70E-18,7.32E-07,2.600936101,5.243067328,10.53861105,5.983266083,0.275849179,7.74E-10,3.429205871,13.38964619
7.90E-05,0.546649014,0.045395092,8.68E-10,22347.36513,3.58E-07,7.94E-10,3.90E-18,5.59E-07,0.553605361,1.061977929,2.003915298,3.847849558,3.771527997,0.526316414,4.701081342,15.05967898
6.01E-05,0.798284307,0.041131792,1.05E-09,43710.50154,2.83E-07,3.54E-10,1.08E-18,6.80E-07,0.123345503,0.250390497,0.527394448,1.181996048,2.458717548,2.697861991,6.705727331,18.02939391
9.27E-05,0.817835673,0.065887838,2.71E-09,27690.67027,3.41E-07,4.74E-10,3.22E-18,9.38E-07,0.430868505,2.686097673,9.237194896,2.258274651,0.00250778,1.75E-10,1.238814646,10.63720239
5.63E-05,0.833132383,0.074555566,1.09E-09,33064.43795,8.08E-08,1.82E-09,1.30E-18,5.96E-07,0.551064978,1.05423237,2.167704426,4.501623714,5.227655539,1.959560882,6.523935529,17.63859407
6.72E-05,0.601061663,0.057435316,2.61E-09,32028.11949,2.59E-07,1.11E-09,3.33E-18,5.10E-07,0.899482118,9.213348104,8.784255311,0.167338046,1.54E-06,1.64E-27,0.830200271,10.22058185
2.37E-05,0.661854015,0.07172234,2.62E-09,39459.60768,2.46E-07,2.65E-09,2.21E-18,6.55E-07,1.120546706,5.976826829,12.93284282,1.922173467,0.000779245,4.61E-13,1.293278467,10.80379894
8.15E-05,0.535683949,0.069306611,3.36E-09,44656.21391,4.99E-08,9.13E-10,2.33E-18,8.54E-07,0.474178661,1.317921948,8.250485077,6.858591796,0.026718152,2.23E-07,2.052555935,11.59855862
8.54E-05,0.887150798,0.013858087,1.57E-09,41166.47819,9.89E-08,9.36E-10,1.42E-18,4.75E-07,0.30787302,0.664204283,1.520803059,3.599117465,5.445166996,2.518923709,5.948177189,16.76557774
3.41E-05,0.792278032,0.059610197,1.96E-09,26848.71077,2.76E-07,1.73E-09,1.40E-18,8.80E-07,0.661260191,1.581106682,4.205780041,8.54618085,3.847391189,0.06356703,3.485487199,13.4525646
5.01E-05,0.530770753,0.048540712,2.69E-09,13112.49396,2.55E-07,1.08E-09,2.98E-18,5.38E-07,5.981286779,16.16003241,2.71707932,0.001287357,1.62E-07,2.17E-29,0.331670558,9.785740279
7.61E-05,0.741944038,0.06796278,2.74E-09,8099.726118,1.92E-07,2.15E-09,2.29E-18,6.99E-07,17.5590068,16.99078325,0.465115565,1.97E-05,5.97E-25,0,0.130899363,9.532986025
5.07E-05,0.571271342,0.063200148,9.26E-10,39882.28773,2.26E-08,1.60E-09,3.34E-18,4.50E-07,0.753851835,1.363822108,2.215948722,3.197461636,3.360611478,1.114459393,6.188096888,17.03355425
6.13E-05,0.657779541,0.036986072,3.38E-09,47326.05451,1.44E-07,2.06E-09,3.44E-18,6.32E-07,8.197840052,13.44765084,0.344575679,2.10E-06,2.07E-26,0,0.215011013,9.609841965
5.10E-05,0.871577711,0.016411857,1.93E-09,33477.13012,7.22E-08,2.66E-09,1.65E-18,7.16E-07,0.905870824,2.189184006,5.829154416,11.30210715,3.222699976,0.003910221,3.858585732,13.90224523
7.75E-05,0.81308587,0.050007216,1.18E-09,39281.13245,2.03E-07,2.51E-09,2.21E-18,5.01E-07,0.668308958,1.513863291,3.825929411,7.978900452,5.138408833,0.263675032,4.499836029,14.77562944
2.25E-05,0.508114336,0.07650244,3.71E-09,32268.58332,3.20E-08,5.92E-10,2.27E-18,6.84E-07,0.457036704,1.241791852,7.972280898,6.720490553,0.009738213,7.45E-08,1.864239693,11.38126947
3.93E-05,0.687789685,0.066016926,1.99E-09,24191.29226,9.24E-08,1.93E-09,2.76E-18,3.13E-07,1.270947765,4.454562616,15.69131329,4.339985535,0.000885913,2.18E-13,1.927215978,11.47766871
